@relation bank-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute age numeric
@attribute job {admin.,technician,services,management,retired,blue-collar,unemployed,entrepreneur,housemaid,unknown,self-employed,student}
@attribute marital {married,single,divorced}
@attribute education {secondary,tertiary,primary,unknown}
@attribute balance numeric
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute day numeric
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute campaign numeric
@attribute previous numeric
@attribute poutcome {unknown,other,failure,success}
@attribute deposit {yes,no}

@data
31,blue-collar,married,secondary,2,yes,no,unknown,20,may,182,2,0,unknown,yes
40,services,married,secondary,471,yes,no,cellular,24,jul,430,4,0,unknown,yes
37,technician,single,secondary,375,no,no,unknown,9,jun,223,2,0,unknown,no
66,retired,married,tertiary,1948,no,no,cellular,28,jan,216,1,4,success,yes
26,services,married,secondary,199,no,no,cellular,24,jul,139,6,0,unknown,no
29,self-employed,single,tertiary,1579,no,no,cellular,13,oct,190,1,5,success,yes
24,student,single,secondary,423,yes,no,unknown,5,may,226,3,0,unknown,no
25,self-employed,single,secondary,1242,yes,no,unknown,28,may,615,2,0,unknown,yes
35,admin.,single,secondary,-32,no,yes,cellular,9,feb,63,4,5,failure,yes
38,management,married,tertiary,595,yes,no,cellular,18,nov,70,1,0,unknown,no
37,entrepreneur,married,tertiary,310,no,no,cellular,1,sep,76,1,0,unknown,no
48,management,married,secondary,268,yes,no,cellular,28,jul,458,7,0,unknown,yes
31,unemployed,married,secondary,20,no,no,telephone,18,nov,52,1,0,unknown,no
32,management,single,secondary,2018,no,no,cellular,11,aug,1238,1,0,unknown,yes
41,technician,married,secondary,128,yes,no,cellular,27,aug,100,2,0,unknown,no
37,services,married,secondary,1543,yes,no,cellular,22,may,298,1,6,failure,yes
41,technician,divorced,secondary,75,no,no,cellular,20,aug,351,2,0,unknown,no
32,blue-collar,married,secondary,-238,yes,no,unknown,27,may,427,1,0,unknown,no
30,blue-collar,single,secondary,522,no,no,cellular,6,feb,197,3,0,unknown,no
27,blue-collar,single,primary,3955,yes,no,unknown,28,may,205,3,0,unknown,no
28,student,single,secondary,1377,yes,no,cellular,14,may,688,2,0,unknown,yes
36,technician,single,secondary,98,no,no,cellular,30,jan,771,1,0,unknown,yes
51,services,divorced,secondary,242,no,yes,cellular,14,jul,1336,4,0,unknown,yes
31,blue-collar,married,secondary,557,yes,yes,unknown,27,may,185,1,0,unknown,no
74,retired,divorced,primary,2308,no,no,telephone,16,sep,251,2,2,success,no
44,management,divorced,tertiary,0,no,no,unknown,6,jun,373,1,0,unknown,no
26,technician,single,tertiary,1066,no,no,cellular,15,apr,200,1,0,unknown,yes
39,blue-collar,married,primary,766,yes,no,unknown,3,jun,350,3,0,unknown,no
71,retired,married,primary,3230,no,no,cellular,24,may,341,2,3,failure,yes
28,technician,married,secondary,742,no,no,cellular,26,may,236,1,0,unknown,yes
39,services,married,secondary,208,no,yes,cellular,9,feb,122,2,0,unknown,no
32,management,married,secondary,6217,yes,yes,cellular,18,nov,486,2,2,failure,no
37,technician,married,tertiary,341,no,no,cellular,13,aug,287,3,3,success,yes
26,technician,single,tertiary,4130,no,no,cellular,28,jan,104,2,0,unknown,no
35,entrepreneur,divorced,secondary,80,no,no,cellular,20,aug,67,5,0,unknown,no
38,management,married,tertiary,0,no,no,cellular,28,aug,77,18,0,unknown,no
50,services,married,secondary,901,yes,no,unknown,20,jun,8,6,0,unknown,no
39,blue-collar,married,secondary,171,yes,yes,cellular,8,may,153,1,1,failure,no
26,management,single,tertiary,1177,no,no,cellular,19,oct,116,1,0,unknown,no
31,management,single,tertiary,41,yes,no,cellular,18,aug,392,2,0,unknown,no
31,management,married,tertiary,303,yes,no,unknown,14,may,143,1,0,unknown,no
50,management,married,unknown,8345,no,no,cellular,27,feb,194,1,1,failure,yes
42,technician,divorced,secondary,214,no,no,cellular,16,apr,127,1,0,unknown,yes
41,self-employed,single,tertiary,0,no,no,cellular,18,nov,256,1,0,unknown,no
57,admin.,married,secondary,4391,no,no,telephone,4,feb,1416,1,0,unknown,yes
33,technician,single,secondary,161,no,no,cellular,25,aug,66,9,0,unknown,no
28,management,single,tertiary,3238,yes,no,unknown,19,may,7,1,0,unknown,no
30,management,single,tertiary,2544,no,no,cellular,9,apr,152,2,0,unknown,yes
30,services,single,secondary,-114,yes,no,cellular,21,jul,396,2,0,unknown,no
32,admin.,married,secondary,1661,yes,no,cellular,5,feb,76,1,2,failure,no
49,entrepreneur,divorced,unknown,-701,yes,no,cellular,30,jul,988,2,0,unknown,yes
38,admin.,divorced,secondary,19,yes,no,unknown,30,may,604,2,0,unknown,yes
29,technician,single,secondary,18,no,no,cellular,3,feb,206,3,0,unknown,no
51,services,married,primary,8806,yes,no,unknown,19,may,131,1,0,unknown,no
35,management,single,tertiary,3,yes,yes,cellular,6,feb,217,1,0,unknown,no
28,services,married,secondary,510,yes,yes,cellular,8,jul,1767,2,0,unknown,yes
37,admin.,married,secondary,1207,yes,no,telephone,6,apr,1353,2,2,success,yes
37,management,married,tertiary,5106,no,no,cellular,30,apr,244,1,0,unknown,yes
29,housemaid,single,tertiary,19,no,no,cellular,4,may,268,1,4,success,yes
30,student,single,secondary,48,no,no,cellular,18,aug,161,1,1,failure,yes
22,student,single,secondary,216,no,no,cellular,6,aug,178,1,2,success,yes
38,blue-collar,single,secondary,1121,no,no,unknown,18,jun,203,1,0,unknown,no
34,admin.,married,secondary,124,yes,no,telephone,14,may,604,4,2,other,yes
41,blue-collar,married,secondary,4910,yes,no,cellular,3,apr,1090,1,0,unknown,no
49,technician,married,secondary,412,no,no,cellular,19,aug,1293,8,0,unknown,yes
39,services,divorced,secondary,687,yes,no,cellular,9,jul,869,1,0,unknown,yes
55,blue-collar,single,tertiary,325,yes,no,unknown,8,may,693,1,0,unknown,no
39,management,married,tertiary,1241,yes,no,cellular,5,jun,138,2,0,unknown,no
57,blue-collar,married,primary,3109,no,no,cellular,15,sep,107,2,2,success,yes
27,student,single,primary,25,no,no,unknown,28,aug,8,1,0,unknown,no
28,unemployed,single,primary,1374,no,no,cellular,23,apr,203,4,0,unknown,yes
38,technician,married,secondary,381,yes,no,unknown,29,may,126,2,0,unknown,no
62,entrepreneur,married,secondary,3904,no,no,telephone,29,jan,403,2,0,unknown,yes
25,services,single,secondary,333,no,yes,cellular,15,jul,1056,2,0,unknown,yes
28,management,married,tertiary,1240,no,no,cellular,4,aug,849,1,0,unknown,yes
37,technician,single,tertiary,0,no,no,unknown,1,jul,1135,2,0,unknown,yes
38,admin.,single,secondary,262,no,no,cellular,3,feb,315,2,6,failure,yes
26,blue-collar,single,secondary,277,no,no,unknown,14,may,514,2,0,unknown,no
51,services,married,secondary,-467,no,no,unknown,9,jun,216,5,0,unknown,no
39,blue-collar,married,secondary,1307,yes,no,telephone,31,oct,158,1,0,unknown,yes
29,admin.,single,secondary,3528,no,no,cellular,8,oct,137,1,0,unknown,yes
46,management,divorced,tertiary,624,no,no,cellular,18,mar,420,1,1,other,yes
40,blue-collar,married,primary,332,yes,no,cellular,12,may,339,2,3,failure,no
30,management,single,tertiary,1675,no,no,cellular,4,sep,181,1,0,unknown,no
42,services,divorced,secondary,257,yes,no,cellular,12,may,955,2,0,unknown,yes
38,technician,married,unknown,90,yes,yes,unknown,8,may,20,2,0,unknown,no
38,management,single,tertiary,38,no,no,cellular,20,aug,105,2,0,unknown,no
32,technician,single,tertiary,2481,no,no,cellular,18,aug,547,11,0,unknown,no
23,student,single,secondary,794,no,no,cellular,26,jul,607,3,3,other,yes
56,management,married,tertiary,412,no,no,telephone,20,nov,179,6,0,unknown,no
57,retired,divorced,secondary,316,no,no,cellular,28,jan,935,2,0,unknown,no
36,admin.,single,tertiary,994,no,no,cellular,6,may,211,1,6,success,yes
38,management,single,tertiary,1637,no,yes,cellular,5,aug,231,1,0,unknown,no
36,technician,single,secondary,0,no,no,cellular,28,aug,8,13,0,unknown,no
69,retired,married,secondary,0,no,no,cellular,25,aug,412,2,0,unknown,yes
42,admin.,married,secondary,1133,yes,no,cellular,4,feb,161,4,3,failure,no
42,admin.,single,secondary,30,yes,no,cellular,4,feb,98,1,3,failure,no
40,self-employed,single,tertiary,10346,no,no,cellular,15,jun,491,2,1,other,yes
26,management,single,tertiary,1646,no,no,cellular,12,apr,524,4,5,success,yes
34,services,married,secondary,2956,no,no,cellular,6,aug,835,2,0,unknown,yes
29,management,married,tertiary,247,no,no,cellular,16,sep,143,2,3,failure,yes
33,entrepreneur,single,tertiary,1623,yes,no,cellular,2,sep,291,3,0,unknown,yes
35,management,single,tertiary,1750,yes,no,cellular,22,oct,422,1,4,success,no
41,technician,married,secondary,0,no,no,cellular,28,jan,411,2,8,other,no
46,unemployed,divorced,secondary,41,yes,no,unknown,12,may,249,4,0,unknown,no
52,housemaid,married,primary,256,no,no,cellular,6,aug,137,1,0,unknown,no
32,technician,married,tertiary,240,yes,yes,cellular,14,jul,86,3,0,unknown,no
47,management,married,tertiary,1057,no,no,cellular,4,aug,488,2,0,unknown,no
29,admin.,married,secondary,-150,yes,no,unknown,6,may,328,1,0,unknown,no
30,technician,divorced,secondary,3100,yes,no,unknown,21,may,154,4,0,unknown,no
78,retired,married,unknown,38,no,no,telephone,4,aug,156,1,3,other,no
32,technician,married,secondary,660,no,no,cellular,25,oct,226,2,1,failure,yes
29,services,divorced,secondary,84,yes,no,cellular,13,apr,1101,2,0,unknown,yes
48,unemployed,divorced,secondary,201,no,no,cellular,10,feb,406,2,2,success,yes
34,blue-collar,married,secondary,800,no,no,cellular,5,apr,144,1,0,unknown,yes
36,management,married,tertiary,3839,no,no,cellular,19,nov,146,1,0,unknown,no
38,entrepreneur,married,secondary,680,yes,no,unknown,19,may,144,2,0,unknown,no
59,admin.,married,secondary,2343,yes,no,unknown,5,may,1042,1,0,unknown,yes
26,blue-collar,single,secondary,463,no,yes,cellular,2,jul,248,2,0,unknown,yes
44,admin.,married,tertiary,348,yes,yes,cellular,16,feb,170,2,0,unknown,yes
51,technician,married,secondary,564,no,yes,cellular,8,jul,187,2,0,unknown,no
41,unemployed,married,primary,183,yes,no,cellular,29,jul,271,1,0,unknown,no
25,unemployed,single,tertiary,343,no,no,cellular,1,jun,377,1,0,unknown,yes
76,management,married,unknown,1780,yes,no,telephone,23,apr,413,3,0,unknown,yes
31,technician,married,tertiary,15,no,no,unknown,2,jun,389,1,0,unknown,no
48,blue-collar,married,primary,1080,yes,no,cellular,11,may,197,2,0,unknown,no
66,housemaid,divorced,primary,3701,no,no,telephone,3,mar,834,1,0,unknown,yes
29,admin.,single,tertiary,261,no,no,cellular,17,mar,136,19,0,unknown,no
30,services,single,secondary,438,yes,no,cellular,18,may,98,1,1,failure,no
39,services,married,secondary,702,yes,no,cellular,8,apr,303,1,1,failure,no
60,self-employed,married,tertiary,10861,no,no,cellular,9,nov,98,1,2,failure,yes
64,retired,married,primary,12067,no,no,telephone,30,jul,367,2,2,success,yes
28,services,married,secondary,222,yes,no,unknown,29,may,101,23,0,unknown,no
34,admin.,single,secondary,-32,no,yes,cellular,30,apr,246,2,0,unknown,yes
31,services,single,secondary,91,yes,no,cellular,18,may,111,2,0,unknown,no
50,management,married,tertiary,5969,no,no,cellular,25,jan,455,1,2,failure,yes
36,management,single,tertiary,538,no,no,cellular,23,jun,339,1,5,success,yes
44,housemaid,single,primary,1059,no,no,unknown,18,jun,2093,1,0,unknown,yes
38,technician,married,secondary,5115,yes,no,cellular,2,jun,318,1,7,success,yes
31,management,divorced,tertiary,883,yes,no,cellular,19,nov,168,1,0,unknown,no
49,services,married,secondary,653,no,no,cellular,11,aug,317,2,0,unknown,no
29,self-employed,single,tertiary,655,no,no,cellular,23,mar,273,1,0,unknown,yes
50,blue-collar,divorced,secondary,204,yes,yes,unknown,14,may,421,1,0,unknown,no
29,services,single,secondary,1934,no,no,cellular,29,sep,271,1,0,unknown,yes
70,retired,married,primary,4982,no,no,cellular,4,may,794,2,0,unknown,no
36,admin.,married,secondary,1031,no,no,cellular,17,jun,282,4,0,unknown,yes
54,retired,married,primary,0,yes,no,cellular,11,jul,159,2,0,unknown,no
47,services,married,secondary,0,yes,no,telephone,9,jul,250,1,0,unknown,no
30,admin.,single,secondary,4448,no,no,cellular,11,feb,112,8,0,unknown,yes
39,admin.,married,tertiary,1322,yes,no,cellular,24,sep,157,3,1,other,no
58,management,married,tertiary,1318,no,no,cellular,16,jul,184,1,5,failure,no
38,admin.,divorced,secondary,930,yes,no,cellular,5,may,46,1,0,unknown,no
46,management,divorced,tertiary,507,yes,no,cellular,1,apr,1196,1,0,unknown,yes
58,technician,married,secondary,3399,no,no,cellular,26,may,1078,1,7,other,yes
49,technician,married,tertiary,-888,no,yes,cellular,21,jul,298,1,0,unknown,no
31,admin.,single,tertiary,383,no,yes,cellular,6,feb,119,1,1,failure,no
41,unemployed,divorced,secondary,271,yes,no,unknown,19,jun,196,2,0,unknown,no
29,admin.,married,secondary,500,yes,no,cellular,8,may,8,8,0,unknown,no
31,technician,single,secondary,1282,no,no,cellular,12,may,144,1,2,failure,no
37,technician,married,secondary,261,no,no,cellular,29,aug,301,4,0,unknown,no
31,technician,married,secondary,1173,yes,no,cellular,14,jul,444,3,0,unknown,yes
36,management,single,tertiary,1379,no,no,cellular,25,may,189,1,1,failure,yes
51,admin.,divorced,secondary,2195,yes,no,unknown,13,may,59,1,0,unknown,no
27,blue-collar,single,secondary,181,no,no,unknown,13,may,147,1,0,unknown,no
71,retired,married,secondary,1696,no,no,cellular,6,oct,486,1,0,unknown,yes
26,blue-collar,married,secondary,246,yes,no,unknown,16,may,1143,3,0,unknown,yes
30,technician,single,secondary,-522,yes,yes,cellular,5,may,670,2,6,failure,yes
36,admin.,single,secondary,115,no,no,cellular,4,may,134,3,1,failure,no
42,technician,single,secondary,1364,yes,no,unknown,15,may,1867,6,0,unknown,yes
26,services,single,secondary,397,no,no,cellular,29,jan,268,1,0,unknown,no
59,unknown,single,secondary,3237,no,no,unknown,6,jun,100,3,0,unknown,no
40,technician,married,unknown,0,no,yes,cellular,7,jul,161,1,0,unknown,no
46,blue-collar,married,secondary,942,no,no,cellular,18,nov,240,3,2,failure,no
43,technician,divorced,secondary,6835,no,no,cellular,19,nov,187,1,2,failure,no
37,management,married,tertiary,57,no,no,cellular,5,feb,345,1,0,unknown,yes
25,admin.,single,secondary,285,no,no,cellular,3,jul,658,3,0,unknown,yes
30,technician,married,secondary,-306,yes,yes,cellular,18,nov,372,1,1,failure,no
46,admin.,married,secondary,1252,yes,yes,cellular,17,nov,59,1,0,unknown,no
37,management,married,tertiary,3737,no,no,cellular,7,jul,224,1,0,unknown,yes
35,technician,married,secondary,545,yes,no,cellular,16,apr,1579,1,4,failure,yes
34,blue-collar,married,primary,3986,yes,no,cellular,17,apr,345,2,0,unknown,no
37,services,married,secondary,6089,yes,no,cellular,14,may,616,2,0,unknown,yes
31,management,single,tertiary,354,no,no,cellular,30,apr,502,1,2,success,yes
37,technician,single,tertiary,1609,no,yes,unknown,20,jun,10,19,0,unknown,no
48,blue-collar,married,primary,214,yes,yes,cellular,14,may,307,1,2,failure,yes
30,self-employed,married,tertiary,543,yes,yes,unknown,4,jun,1449,6,0,unknown,yes
47,technician,married,tertiary,2155,no,no,unknown,20,jun,178,3,0,unknown,no
36,technician,married,secondary,3,no,no,cellular,20,aug,100,4,0,unknown,no
50,management,married,tertiary,469,no,no,cellular,16,apr,161,1,0,unknown,yes
48,management,married,tertiary,3842,no,no,cellular,1,jun,215,2,0,unknown,yes
29,admin.,single,secondary,382,yes,no,unknown,12,may,460,1,0,unknown,no
36,services,married,unknown,618,no,no,cellular,13,jul,360,1,2,success,yes
27,blue-collar,single,secondary,2486,yes,no,unknown,29,may,733,1,0,unknown,yes
36,student,single,unknown,417,no,no,cellular,10,aug,304,1,1,success,yes
34,technician,married,secondary,159,yes,no,cellular,18,oct,252,1,0,unknown,yes
26,technician,single,secondary,44,no,no,cellular,30,oct,217,1,0,unknown,yes
29,services,single,secondary,20,yes,no,unknown,15,may,431,1,0,unknown,no
22,student,single,secondary,64,no,no,cellular,4,jun,112,1,0,unknown,no
41,blue-collar,married,secondary,849,yes,yes,cellular,12,may,100,4,0,unknown,no
19,student,single,secondary,302,no,no,cellular,16,jul,205,1,0,unknown,yes
44,admin.,married,secondary,0,no,no,cellular,31,jul,209,1,0,unknown,no
49,entrepreneur,single,secondary,5802,no,no,cellular,12,aug,175,3,2,success,no
33,management,married,secondary,3935,yes,no,cellular,6,may,765,1,2,failure,yes
47,technician,married,secondary,1167,yes,no,cellular,4,aug,505,1,6,success,yes
35,blue-collar,single,secondary,885,yes,no,cellular,15,jul,632,6,0,unknown,yes
58,retired,married,tertiary,1425,no,no,cellular,30,apr,224,1,0,unknown,yes
28,management,single,tertiary,9710,no,no,cellular,14,oct,786,2,0,unknown,no
53,blue-collar,divorced,primary,4401,no,no,telephone,11,aug,254,1,0,unknown,yes
28,self-employed,married,tertiary,0,yes,no,cellular,4,feb,546,3,4,failure,yes
55,retired,married,secondary,493,yes,no,unknown,13,may,647,7,0,unknown,no
52,blue-collar,married,primary,66653,no,no,cellular,14,aug,109,3,0,unknown,no
34,blue-collar,married,secondary,262,no,no,cellular,1,jun,339,1,0,unknown,yes
25,blue-collar,single,secondary,0,no,no,cellular,23,apr,163,1,0,unknown,yes
44,services,married,secondary,808,yes,no,unknown,2,jun,67,2,0,unknown,no
60,housemaid,married,unknown,491,no,no,cellular,14,aug,503,4,0,unknown,no
46,admin.,married,secondary,659,yes,no,telephone,29,jul,1127,11,0,unknown,yes
35,admin.,married,secondary,2374,yes,no,cellular,11,aug,765,2,5,success,yes
30,blue-collar,married,secondary,309,yes,no,unknown,7,may,1574,2,0,unknown,yes
49,management,single,tertiary,1350,yes,yes,cellular,11,may,716,1,0,unknown,no
31,unknown,married,tertiary,526,no,no,cellular,26,aug,130,13,0,unknown,no
32,management,single,tertiary,3,yes,no,cellular,13,may,568,1,0,unknown,yes
54,unemployed,married,secondary,377,no,no,cellular,8,apr,1134,1,0,unknown,yes
51,blue-collar,married,secondary,-92,yes,no,unknown,4,jun,28,4,0,unknown,no
34,technician,single,tertiary,370,no,no,cellular,11,aug,116,2,0,unknown,no
43,management,married,tertiary,136,no,no,cellular,6,aug,120,2,0,unknown,no
30,blue-collar,single,secondary,239,yes,no,unknown,21,may,412,1,0,unknown,yes
55,management,married,secondary,2410,yes,no,cellular,17,nov,135,1,0,unknown,no
44,blue-collar,married,primary,134,yes,no,cellular,7,may,378,1,0,unknown,no
30,technician,single,tertiary,880,yes,yes,unknown,19,may,967,6,0,unknown,yes
51,admin.,married,secondary,4178,yes,no,unknown,30,may,556,1,0,unknown,no
39,housemaid,single,primary,109,yes,no,unknown,6,may,699,3,0,unknown,no
27,admin.,single,secondary,18188,yes,no,unknown,12,jun,541,17,0,unknown,yes
69,retired,married,primary,324,no,no,cellular,4,feb,136,4,0,unknown,yes
48,blue-collar,single,primary,623,yes,no,cellular,2,feb,1425,2,0,unknown,yes
34,management,single,tertiary,416,no,no,cellular,14,aug,1217,4,0,unknown,no
54,management,married,tertiary,1114,yes,no,cellular,21,nov,1195,2,1,other,no
40,admin.,single,secondary,664,no,no,cellular,19,nov,188,2,2,success,no
37,admin.,married,secondary,0,yes,no,cellular,22,jul,185,1,0,unknown,no
77,retired,married,secondary,4112,no,no,telephone,29,jul,426,1,3,success,yes
29,technician,married,tertiary,1489,yes,no,unknown,28,may,430,1,0,unknown,no
66,management,married,unknown,2149,yes,no,cellular,25,feb,98,1,10,failure,yes
27,management,single,secondary,178,yes,no,unknown,3,jun,732,2,0,unknown,yes
59,services,married,secondary,-22,yes,no,unknown,26,may,748,3,0,unknown,yes
30,management,married,secondary,850,no,no,cellular,12,aug,507,2,0,unknown,yes
32,blue-collar,married,secondary,1,yes,no,unknown,8,may,102,1,0,unknown,no
29,admin.,married,tertiary,167,yes,yes,cellular,13,oct,357,2,2,failure,no
33,admin.,single,tertiary,475,yes,no,cellular,7,may,1046,1,0,unknown,yes
59,entrepreneur,married,tertiary,1728,no,no,cellular,7,jul,575,2,0,unknown,no
34,services,single,secondary,1239,yes,no,unknown,23,may,164,1,0,unknown,no
71,retired,divorced,tertiary,1236,yes,no,cellular,14,sep,335,4,0,unknown,yes
39,management,married,tertiary,481,no,no,cellular,7,dec,929,5,1,other,yes
33,management,divorced,tertiary,2240,no,no,cellular,8,mar,264,2,1,success,yes
37,unemployed,divorced,tertiary,1085,no,no,cellular,25,aug,146,4,0,unknown,no
54,technician,married,secondary,-315,no,yes,cellular,10,jul,2029,1,0,unknown,yes
61,housemaid,married,primary,848,no,no,cellular,27,apr,605,1,1,other,no
36,blue-collar,married,secondary,6699,yes,no,cellular,20,apr,201,3,0,unknown,no
38,blue-collar,married,secondary,360,yes,no,unknown,14,may,220,2,0,unknown,no
52,technician,married,tertiary,876,no,no,cellular,4,may,601,3,0,unknown,yes
27,services,single,tertiary,1501,yes,no,cellular,24,jul,187,1,0,unknown,no
18,student,single,unknown,108,no,no,cellular,10,aug,167,1,0,unknown,yes
39,management,single,secondary,2644,no,no,cellular,19,aug,192,7,0,unknown,no
37,management,married,tertiary,11265,no,no,unknown,18,jun,417,1,0,unknown,no
60,services,married,tertiary,4256,yes,no,cellular,16,nov,200,1,4,success,yes
52,admin.,married,secondary,-462,yes,no,cellular,9,feb,172,5,0,unknown,no
49,admin.,married,secondary,3608,yes,no,cellular,30,apr,252,1,1,success,yes
41,admin.,single,secondary,2002,yes,no,cellular,15,may,172,2,1,failure,no
49,blue-collar,married,primary,-167,no,no,cellular,7,jul,51,1,0,unknown,no
32,admin.,married,secondary,8749,yes,yes,unknown,21,oct,294,1,0,unknown,yes
47,blue-collar,divorced,primary,126,yes,no,unknown,3,jun,2456,2,0,unknown,yes
36,entrepreneur,married,tertiary,3057,no,no,unknown,16,jun,2769,4,0,unknown,yes
24,technician,single,secondary,-126,yes,yes,unknown,13,may,382,2,0,unknown,no
48,entrepreneur,married,secondary,104,yes,yes,cellular,18,nov,55,1,0,unknown,no
39,management,married,secondary,1880,no,no,cellular,12,aug,768,2,0,unknown,yes
24,blue-collar,single,secondary,476,yes,no,unknown,4,jun,161,1,0,unknown,no
51,blue-collar,married,secondary,568,yes,no,unknown,4,jun,37,1,0,unknown,no
39,unknown,single,unknown,0,no,no,telephone,28,jan,28,1,0,unknown,no
79,retired,married,secondary,2661,no,no,cellular,10,nov,254,5,0,unknown,yes
